Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Customer Value_to_Use_Freq,Seconds_Used_To_freq
4.0,0.0,33.0,0.0,3290.0,68.0,14.0,21.0,2.0,1.0,1,25.0,214.11,0.0,3.1486764705882355,48.38235294117647
2.0,0.0,22.0,0.0,1315.0,30.0,185.0,10.0,2.0,2.0,1,25.0,893.025,0.0,29.7675,43.833333333333336
13.0,0.0,41.0,1.0,3955.0,90.0,43.0,33.0,3.0,1.0,1,30.0,333.8,0.0,3.708888888888889,43.94444444444444
0.0,0.0,21.0,0.0,1055.0,26.0,178.0,5.0,2.0,2.0,1,25.0,849.645,0.0,32.67865384615384,40.57692307692308
5.0,0.0,28.0,0.0,1130.0,16.0,28.0,5.0,4.0,1.0,2,45.0,98.65,0.0,6.165625,70.625
3.0,1.0,39.0,1.0,60.0,3.0,5.0,2.0,2.0,1.0,1,25.0,25.335,1.0,8.445,20.0
0.0,0.0,32.0,0.0,1245.0,32.0,0.0,14.0,3.0,1.0,2,30.0,51.08,0.0,1.59625,38.90625
11.0,0.0,31.0,1.0,2053.0,53.0,48.0,75.0,5.0,1.0,1,55.0,103.59,0.0,1.9545283018867925,38.735849056603776
10.0,0.0,35.0,1.0,9055.0,118.0,139.0,41.0,3.0,1.0,1,30.0,922.92,0.0,7.82135593220339,76.73728813559322
14.0,0.0,43.0,1.0,14258.0,183.0,18.0,51.0,3.0,1.0,1,30.0,649.64,0.0,3.5499453551912565,77.91256830601093
0.0,0.0,14.0,0.0,1330.0,17.0,16.0,10.0,2.0,1.0,1,25.0,132.615,0.0,7.800882352941177,78.23529411764706
0.0,0.0,36.0,0.0,628.0,7.0,9.0,4.0,4.0,1.0,2,45.0,38.375,1.0,5.482142857142857,89.71428571428571
0.0,0.0,37.0,0.0,258.0,2.0,2.0,2.0,2.0,1.0,2,25.0,20.7,0.0,10.35,129.0
16.0,0.0,41.0,3.0,7083.0,84.0,120.0,41.0,2.0,1.0,1,25.0,862.515,0.0,10.268035714285714,84.32142857142857
0.0,1.0,9.0,0.0,888.0,9.0,0.0,3.0,3.0,1.0,1,30.0,35.88,1.0,3.986666666666667,98.66666666666667
14.0,1.0,39.0,0.0,2428.0,54.0,7.0,15.0,3.0,1.0,2,30.0,127.28,0.0,2.357037037037037,44.96296296296296
2.0,0.0,26.0,0.0,1378.0,38.0,21.0,65.0,4.0,1.0,1,45.0,87.9,0.0,2.3131578947368423,36.26315789473684
1.0,0.0,26.0,0.0,2820.0,56.0,0.0,25.0,3.0,1.0,1,30.0,115.04,0.0,2.0542857142857143,50.357142857142854
14.0,0.0,39.0,1.0,15790.0,188.0,157.0,32.0,2.0,1.0,1,25.0,1425.51,0.0,7.5825,83.98936170212765
0.0,0.0,38.0,0.0,1360.0,44.0,39.0,19.0,3.0,1.0,2,30.0,212.16,0.0,4.821818181818181,30.90909090909091
0.0,0.0,36.0,0.0,3528.0,81.0,0.0,25.0,2.0,1.0,1,25.0,162.405,0.0,2.005,43.55555555555556
28.0,1.0,35.0,0.0,1260.0,53.0,23.0,19.0,3.0,1.0,2,30.0,144.52,1.0,2.726792452830189,23.77358490566038
0.0,0.0,30.0,0.0,1180.0,30.0,20.0,13.0,3.0,1.0,2,30.0,128.4,0.0,4.28,39.333333333333336
11.0,0.0,37.0,2.0,8870.0,118.0,142.0,43.0,3.0,1.0,1,30.0,927.52,0.0,7.860338983050847,75.16949152542372
10.0,0.0,21.0,1.0,1270.0,28.0,11.0,9.0,2.0,1.0,1,25.0,107.91,0.0,3.8539285714285714,45.357142857142854
8.0,0.0,37.0,0.0,1970.0,50.0,45.0,22.0,3.0,1.0,2,30.0,260.8,0.0,5.216,39.4
8.0,0.0,43.0,2.0,1973.0,37.0,15.0,9.0,4.0,1.0,1,45.0,87.75,0.0,2.3716216216216215,53.32432432432432
3.0,0.0,40.0,0.0,13548.0,165.0,3.0,46.0,3.0,1.0,1,30.0,560.52,0.0,3.397090909090909,82.10909090909091
10.0,0.0,23.0,0.0,620.0,23.0,0.0,3.0,2.0,1.0,2,25.0,28.935,0.0,1.2580434782608696,26.956521739130434
25.0,0.0,27.0,3.0,16120.0,234.0,7.0,75.16185358381713,2.0,1.0,1,25.0,767.43,0.0,3.2796153846153846,68.88888888888889
2.0,0.0,24.0,0.0,3110.0,55.0,0.0,19.0,3.0,1.0,1,30.0,126.6,0.0,2.3018181818181818,56.54545454545455
0.0,0.0,36.0,0.0,1865.0,32.0,269.0,13.0,3.0,1.0,1,30.0,1151.88,0.0,35.99625,58.28125
4.0,0.0,36.0,0.0,4400.0,78.0,4.0,26.0,3.0,1.0,1,30.0,195.12,0.0,2.5015384615384617,56.41025641025641
2.0,0.0,26.0,0.0,1015.0,11.0,30.0,6.0,4.0,1.0,2,45.0,100.65,0.0,9.15,92.27272727272727
0.0,0.0,31.0,0.0,2088.0,46.0,0.0,30.0,1.0,1.0,1,15.0,117.37,0.0,2.551521739130435,45.391304347826086
8.0,0.0,38.0,3.0,3695.0,37.0,409.8875997145183,23.0,3.0,1.0,1,30.0,2022.0192142693083,0.0,58.521081081081086,99.86486486486487
4.0,0.0,11.0,0.0,8568.0,162.0,61.0,36.0,4.0,1.0,1,45.0,370.75,0.0,2.2885802469135803,52.888888888888886
5.0,1.0,37.0,0.0,2765.0,37.0,12.0,18.0,2.0,1.0,2,25.0,180.09,1.0,4.867297297297298,74.72972972972973
6.0,0.0,38.0,0.0,5918.0,95.0,7.0,12.0,3.0,1.0,1,30.0,268.52,0.0,2.8265263157894736,62.294736842105266
0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2,25.0,0.0,1.0,4.236490036231884,60.055842970176506
0.0,0.0,36.0,0.0,1068.0,15.0,0.0,3.0,3.0,1.0,1,30.0,43.32,0.0,2.888,71.2
0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2,25.0,0.0,1.0,4.236490036231884,60.055842970176506
5.0,0.0,35.0,0.0,2148.0,54.0,352.0,22.0,2.0,1.0,1,25.0,1683.09,0.0,31.168333333333333,39.77777777777778
0.0,0.0,19.0,0.0,2840.0,53.0,0.0,17.0,3.0,1.0,1,30.0,115.72,0.0,2.1833962264150943,53.58490566037736
20.0,0.0,32.0,2.0,14880.0,215.0,39.0,26.0,3.0,1.0,1,30.0,759.8,0.0,3.533953488372093,69.20930232558139
3.0,0.0,33.0,0.0,438.0,2.0,0.0,3.0,3.0,1.0,2,30.0,17.6,1.0,8.8,162.0409466248351
10.0,0.0,42.0,0.0,1970.0,56.0,53.0,23.0,4.0,1.0,2,45.0,183.15,0.0,3.2705357142857143,35.17857142857143
0.0,0.0,23.0,0.0,3165.0,58.0,3.0,21.0,3.0,1.0,1,30.0,140.92,0.0,2.429655172413793,54.56896551724138
0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2,45.0,0.0,0.0,4.236490036231884,60.055842970176506
3.0,0.0,37.0,1.0,6500.0,86.0,186.0,26.0,3.0,1.0,1,30.0,1007.44,0.0,11.714418604651163,75.5813953488372
27.0,0.0,31.0,3.0,16320.0,241.0,7.0,75.16185358381713,2.0,1.0,1,25.0,776.745,0.0,3.223008298755187,67.71784232365145
15.0,0.0,29.0,2.0,2583.0,56.0,45.0,70.0,5.0,1.0,1,55.0,107.085,0.0,1.9122321428571427,46.125
8.0,0.0,36.0,3.0,7205.0,109.0,53.0,28.0,5.0,1.0,1,55.0,189.21,0.0,1.7358715596330276,66.10091743119266
10.0,0.0,35.0,1.0,4820.0,83.0,1.0,26.0,3.0,1.0,1,30.0,200.12,0.0,2.4110843373493975,58.0722891566265
4.0,0.0,22.0,0.0,215.0,11.0,0.0,3.0,2.0,1.0,2,25.0,10.17,0.0,0.9245454545454546,19.545454545454547
3.0,0.0,34.0,2.0,6900.0,103.0,46.0,26.0,5.0,1.0,1,55.0,174.045,0.0,1.6897572815533979,66.99029126213593
5.0,0.0,39.0,0.0,305.0,6.0,7.0,2.0,2.0,1.0,2,25.0,45.495,1.0,7.5825,50.833333333333336
